ner_label,chi2,p_value
CARDINAL,3.1354413440908293,0.07660764957086623
DATE,2.026296328301758,0.1545969522834965
ORG,1.3008894963612427,0.25405081078086245
WORK_OF_ART,1.246090009160178,0.26430058040381504
PERSON,0.4650505919052951,0.4952729834016234
NORP,0.16759285843810434,0.6822600313009103
LAW,0.13359677520089935,0.7147315448541793
MONEY,0.12314101172383854,0.7256524658076624
QUANTITY,0.12314101172383854,0.7256524658076624
LOC,0.12314101172383854,0.7256524658076624
GPE,0.015122580387138028,0.9021277648675579
PRODUCT,0.0,1.0
ORDINAL,0.0,1.0
LANGUAGE,0.0,1.0
FAC,0.0,1.0
TIME,0.0,1.0
