cluster,rank,term,score
0,1,times,0.02279728551809998
0,2,pound,0.02260407064972035
0,3,thousand,0.017316750191219924
0,4,indigo,0.016657903920851973
0,5,collected,0.01475135431060086
0,6,total,0.014702035604998909
0,7,indies,0.014561731794922032
0,8,observations,0.014544505522649676
0,9,wheat,0.013550584025292706
0,10,fleetwood,0.013542945567606574
0,11,pepper,0.013372728607602887
0,12,bread,0.013366922732729793
1,1,sell,0.010847522395567414
1,2,paid,0.007975864022291923
1,3,shillings,0.007809930958918082
1,4,said,0.007106445390011944
1,5,afford,0.0063424630284319465
1,6,weight,0.006313594790467336
1,7,exchange,0.006203020608655619
1,8,merchants,0.0062016136188848036
1,9,unto,0.00571058144458897
1,10,thing,0.00561249632093443
1,11,cloth,0.005357256168365417
1,12,half,0.005306174088281468
2,1,labor,0.024328638942648903
2,2,real,0.021563338103179636
2,3,rise,0.02148715507868573
2,4,market,0.01823207796109367
2,5,corn,0.01650590597854589
2,6,commodities,0.01508895507618064
2,7,money,0.014347122552665653
2,8,raise,0.0130414789467262
2,9,natural,0.012357062412248068
2,10,nominal,0.010743954924478924
2,11,silver,0.010709890396068676
2,12,lower,0.010281713654192877
