cluster,rank,term,score
0,1,shillings,0.012734552526179685
0,2,paid,0.011261918269899796
0,3,sell,0.009640818082717838
0,4,said,0.00870554138466536
0,5,pound,0.008047976447157018
0,6,reckoned,0.006409539536508306
0,7,thousand,0.006318373970181208
0,8,east,0.006226279166349581
0,9,cost,0.0062184527723672615
0,10,sold,0.0061878287530605
0,11,pounds,0.0059737094828150785
0,12,pence,0.005819943224217836
1,1,labor,0.023217808017256217
1,2,rise,0.022419315005968145
1,3,commodities,0.020802248922618134
1,4,real,0.01922504850321189
1,5,corn,0.018076824106516596
1,6,money,0.016253751265060453
1,7,market,0.014676956411093157
1,8,raise,0.013229729921566562
1,9,natural,0.010920522436623354
1,10,home,0.010393183244351387
1,11,provisions,0.009911504423347295
1,12,necessarily,0.009332618910527737
