entity,label,count
0,CARDINAL,1561
2,CARDINAL,1044
1,CARDINAL,923
8,CARDINAL,372
6,CARDINAL,313
4,CARDINAL,289
16,CARDINAL,228
Exchange,ORG,209
one,CARDINAL,192
3,CARDINAL,183
5,CARDINAL,179
England,GPE,167
13,CARDINAL,139
14,CARDINAL,118
17,CARDINAL,111
Trade,ORG,106
first,ORDINAL,105
two,CARDINAL,101
12,CARDINAL,86
three,CARDINAL,82
0   8,CARDINAL,80
7,CARDINAL,75
9,CARDINAL,72
18,CARDINAL,71
Merchant,PRODUCT,67
the quarter,DATE,66
Commodities,ORG,64
10,CARDINAL,61
five,CARDINAL,60
0   4,CARDINAL,56
3   4,CARDINAL,56
0  10,CARDINAL,56
third,ORDINAL,55
English,LANGUAGE,54
Europe,LOC,52
France,GPE,49
15,CARDINAL,46
Kingdom,GPE,45
ten,CARDINAL,44
Realm,GPE,43
six,CARDINAL,38
20,CARDINAL,37
Cloth,PERSON,36
London,GPE,36
Holland,GPE,34
Spain,GPE,33
four,CARDINAL,33
Venice,GPE,31
second,ORDINAL,29
Bills,ORG,29
Countries,ORG,29
First,ORDINAL,28
Turkey,GPE,27
Wares,PERSON,27
years,DATE,27
11,CARDINAL,27
Mint,ORG,26
Indigo,ORG,26
Scotland,GPE,26
Pepper,ORG,25
Dutch,NORP,25
Brokeridge,ORG,25
Spanish,NORP,24
0  12,CARDINAL,24
six pence,MONEY,24
Ships,ORG,24
3   8,CARDINAL,24
English,NORP,23
Merchants,ORG,23
French,NORP,23
twenty,CARDINAL,22
Commonwealth,ORG,22
Great Britain,GPE,22
19,CARDINAL,22
Nations,ORG,21
late years,DATE,21
Amsterdam,GPE,21
Lands,GPE,20
thirty three shillings,QUANTITY,20
India,GPE,20
Ducats,GPE,20
25,CARDINAL,19
Medium,PRODUCT,19
Clothes,ORG,18
Par,ORG,18
Starlin,PERSON,18
Commodity,ORG,18
four pence,MONEY,18
eight,CARDINAL,17
fourth,ORDINAL,17
33,CARDINAL,17
Factoridge,GPE,16
European,NORP,16
Germany,GPE,16
1  19,CARDINAL,16
9   4,CARDINAL,16
WHEAT,ORG,16
1599,DATE,16
R.,NORP,16
40,CARDINAL,16
Indies,ORG,16
6   8,CARDINAL,16
3  10,CARDINAL,16
3  18,CARDINAL,16
Law,PERSON,16
Cutcheneale,ORG,15
America,GPE,15
Magistrates,ORG,15
Province,GPE,15
secondly,ORDINAL,14
Cloves,ORG,14
tenth,ORDINAL,14
Majesty,PERSON,14
Realm,NORP,14
fifty,CARDINAL,14
half,CARDINAL,14
the East Indies,ORG,14
Italy,GPE,14
seven,CARDINAL,14
60,CARDINAL,14
Exchanges,NORP,14
China,GPE,14
fifteen,CARDINAL,13
Antuerp,FAC,13
thirty four shillings,QUANTITY,13
Merchant,WORK_OF_ART,13
Bullion,ORG,13
Starlin,PRODUCT,13
hundred,CARDINAL,13
22,CARDINAL,13
24,CARDINAL,13
Magistrate,ORG,12
Doller,PERSON,12
2s:6d,CARDINAL,12
Indian,NORP,12
twelve,CARDINAL,12
35,CARDINAL,12
Price,ORG,12
the Provincial Mints,ORG,12
Thirdly,ORDINAL,12
one half,CARDINAL,12
28,CARDINAL,12
d.,NORP,11
Antuerp,ORG,11
1463,DATE,11
the last century,DATE,11
the present century,DATE,11
annual,DATE,11
Island,GPE,11
sixty-four,CARDINAL,11
Staple,ORG,11
Portugal,GPE,11
Ship,PRODUCT,11
Paradoxes,ORG,11
Money,PRODUCT,11
Traffic,ORG,11
Clothier,ORG,11
Merchants,PERSON,11
1750,DATE,11
Flemish,LANGUAGE,10
Rents,PERSON,10
Poland,GPE,10
thirty five,CARDINAL,10
300,CARDINAL,10
Positive Exchange,ORG,10
1675,DATE,10
Bankers,ORG,10
Nation,ORG,10
1621,DATE,10
Chapmen,GPE,10
6d,CARDINAL,10
King Henry,PERSON,10
Buyers,NORP,10
each year,DATE,10
weekly,DATE,10
the year,DATE,10
Nutmegs,ORG,10
those days,DATE,10
48s,DATE,10
1595,DATE,10
1558,DATE,9
1649,DATE,9
50,CARDINAL,9
32,CARDINAL,9
1202,DATE,9
1763,DATE,9
1751,DATE,9
daily,DATE,9
Ducats,PERSON,9
Bodine,PERSON,9
1688,DATE,9
1270,DATE,9
1636,DATE,9
1648,DATE,9
Crown,ORG,9
Trades,ORG,9
Rome,GPE,9
1554,DATE,9
Tower,ORG,9
Bill,PERSON,9
Clothier,NORP,9
falleth,PERSON,9
Clothes,PERSON,9
Secondly,ORDINAL,9
