entity,label,count
Exchange,ORG,209
England,GPE,167
Trade,ORG,106
Commodities,ORG,64
Europe,LOC,52
France,GPE,49
Kingdom,GPE,45
Realm,GPE,43
Cloth,PERSON,36
London,GPE,36
Holland,GPE,34
Spain,GPE,33
Venice,GPE,31
Bills,ORG,29
Countries,ORG,29
Turkey,GPE,27
Wares,PERSON,27
Mint,ORG,26
Indigo,ORG,26
Scotland,GPE,26
Pepper,ORG,25
Brokeridge,ORG,25
six pence,MONEY,24
Ships,ORG,24
Merchants,ORG,23
Commonwealth,ORG,22
Great Britain,GPE,22
Nations,ORG,21
Amsterdam,GPE,21
Lands,GPE,20
India,GPE,20
Ducats,GPE,20
Clothes,ORG,18
Par,ORG,18
Starlin,PERSON,18
Commodity,ORG,18
four pence,MONEY,18
Factoridge,GPE,16
Germany,GPE,16
WHEAT,ORG,16
Indies,ORG,16
Law,PERSON,16
Cutcheneale,ORG,15
America,GPE,15
Magistrates,ORG,15
Province,GPE,15
Cloves,ORG,14
Majesty,PERSON,14
the East Indies,ORG,14
Italy,GPE,14
China,GPE,14
Bullion,ORG,13
Magistrate,ORG,12
Doller,PERSON,12
Price,ORG,12
the Provincial Mints,ORG,12
Antuerp,ORG,11
Island,GPE,11
Staple,ORG,11
Portugal,GPE,11
Paradoxes,ORG,11
Traffic,ORG,11
Clothier,ORG,11
Merchants,PERSON,11
Rents,PERSON,10
Poland,GPE,10
Positive Exchange,ORG,10
Bankers,ORG,10
Nation,ORG,10
Chapmen,GPE,10
King Henry,PERSON,10
Nutmegs,ORG,10
Ducats,PERSON,9
Bodine,PERSON,9
Crown,ORG,9
Trades,ORG,9
Rome,GPE,9
Tower,ORG,9
Bill,PERSON,9
falleth,PERSON,9
Clothes,PERSON,9
Factoridge,LOC,8
the Positive Exchange,ORG,8
Prohibiting,GPE,8
Maluedeis,PERSON,8
Frankford,ORG,8
twenty pence,MONEY,8
MICHAELMAS,ORG,8
Russia,GPE,8
eight pence,MONEY,8
Danes,ORG,8
Commerce,ORG,8
knoweth,PERSON,7
Lixborne,GPE,7
Malynes,LOC,7
Henry,PERSON,7
Bullion,PERSON,7
Plate,ORG,7
Silver,GPE,7
the Public Measure,ORG,7
Lituania,GPE,7
Prussia,GPE,7
Mace,PERSON,7
Money,ORG,7
Zealand,GPE,7
Coin,ORG,7
maketh,PERSON,7
Merchant,PERSON,7
Royal 2 ½,ORG,6
ten pence,MONEY,6
Rate,PERSON,6
Baker,PERSON,6
Silk,LOC,6
telleth him,PERSON,6
Wines,GPE,6
Peru,GPE,6
the Canker of England's,ORG,6
Lion Doller,PERSON,6
