org_list,0,1,total,prop_0,prop_1,diff
Pepper,23,2,25,0.020228671943711522,0.002967359050445104,0.01726131289326642
Brokeridge,19,0,19,0.016710642040457344,0.0,0.016710642040457344
Indigo,23,3,26,0.020228671943711522,0.004451038575667656,0.015777633368043865
Indies,14,0,14,0.012313104661389622,0.0,0.012313104661389622
Price,12,0,12,0.010554089709762533,0.0,0.010554089709762533
Ships,17,3,20,0.014951627088830254,0.004451038575667656,0.010500588513162597
Nation,10,0,10,0.008795074758135445,0.0,0.008795074758135445
Antuerp,9,0,9,0.0079155672823219,0.0,0.0079155672823219
the East Indies,12,2,14,0.010554089709762533,0.002967359050445104,0.007586730659317429
Danes,8,0,8,0.007036059806508356,0.0,0.007036059806508356
Nutmegs,9,1,10,0.0079155672823219,0.001483679525222552,0.006431887757099348
Frankford,6,0,6,0.005277044854881266,0.0,0.005277044854881266
Cloves,11,3,14,0.009674582233948988,0.004451038575667656,0.005223543658281332
Commerce,7,1,8,0.006156552330694811,0.001483679525222552,0.004672872805472259
Fleetwood,5,0,5,0.0043975373790677225,0.0,0.0043975373790677225
Doller,5,0,5,0.0043975373790677225,0.0,0.0043975373790677225
Staple,5,0,5,0.0043975373790677225,0.0,0.0043975373790677225
Nobility,5,0,5,0.0043975373790677225,0.0,0.0043975373790677225
Par,13,5,18,0.011433597185576077,0.00741839762611276,0.004015199559463317
Bills,18,8,26,0.0158311345646438,0.011869436201780416,0.003961698362863385
the East-Indies,4,0,4,0.003518029903254178,0.0,0.003518029903254178
Scotch Prizes,4,0,4,0.003518029903254178,0.0,0.003518029903254178
the Philip Doller,4,0,4,0.003518029903254178,0.0,0.003518029903254178
Easterlings,4,0,4,0.003518029903254178,0.0,0.003518029903254178
Mariners,4,0,4,0.003518029903254178,0.0,0.003518029903254178
the Naturall Exchange,4,0,4,0.003518029903254178,0.0,0.003518029903254178
Voyage,4,0,4,0.003518029903254178,0.0,0.003518029903254178
Crown,7,2,9,0.006156552330694811,0.002967359050445104,0.003189193280249707
Bills of Exchanges,5,1,6,0.0043975373790677225,0.001483679525222552,0.0029138578538451705
Magistrate,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Ducats 12111 Duc,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Madrill to Lixborne,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Foreign Dealers,3,0,3,0.002638522427440633,0.0,0.002638522427440633
the Complaint of our Clothiers,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Asper,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Banks and Bankers,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Bank,3,0,3,0.002638522427440633,0.0,0.002638522427440633
Creutzers,3,0,3,0.002638522427440633,0.0,0.002638522427440633
